Timestamp,What is your primary mode of transportation on campus (not to/from campus)?,"If you use micro-mobility vehicles on campus at all, how many days a week do you use micro-mobility vehicles on campus?","When on campus using your primary mode of transportation, how often do you use lanes/zones/spaces dedicated to your primary mode of transportation*? 

*Such as sidewalks for walking, roads for motorized vehicles, bike lanes for bicycles, etc.",How would you rate your feelings of safety when you are in a lane/zone/space on campus that is shared with pedestrians and micro-mobility riders?,Which response best describes your feelings of safety when you are on-the-go and there is no designated space for your mode of transportation?,"To what extent do you agree or disagree with the following statement? 

""I feel unsafe when individuals use micro-mobility vehicles in pedestrian-only zones (ex: walk-only zones, sidewalks).”","To what extent do you agree or disagree with the following statement? 

""Other people operate micro-mobility vehicles safely on campus.”","In your opinion, what is the best way to ensure safe operation of micro-mobility vehicles around pedestrians on campus?","Thinking about your experiences either as a pedestrian or a micro-mobility rider, please tell us how you feel about micro-mobility devices on campus."
9/22/2023 17:40:01,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I always use zones dedicated to my mode of transportation on campus.,I feel very safe,I feel very unsafe,Disagree,Agree,A designated lane for micro-mobility vehicles.,"Sometimes I see them wooshing past me really fast, but they do seem skilled enough to maneuver and not hurt individuals. So far this has not been the biggest concern for me. "
9/22/2023 17:45:04,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I often use zones dedicated to my mode of transportation on campus.,I feel safe,I feel safe,Agree,Disagree,Not allow them in pedestrian areas,They’re annoying and dangerous and the riders are inconsiderate
9/22/2023 18:01:57,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I often use zones dedicated to my mode of transportation on campus.,I feel unsafe,Not applicable (N/A),Agree,Disagree,Don't use them on the sidewalks. It's a vehicle. Only use them on the streets. ,The devices are only as terrible as the people driving them. Some people seem to care more about potentially hitting people (or even their own safety with wearing helmets).
9/22/2023 18:08:01,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I always use zones dedicated to my mode of transportation on campus.,I feel neither unsafe nor safe,I feel unsafe,Strongly agree,Neither disagree nor agree,Designated lanes for each mode and established rules around the use of micro mobility vehicles ,I don’t mind it in most cases but there are some careless riders who do not care for pedestrians 
9/22/2023 18:13:36,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I never use zones dedicated to my mode of transportation on campus.,I feel unsafe,I feel unsafe,Strongly agree,Strongly disagree,speed governors on scooters (they should max out at 5 mph),i hate being nearly run down by scooters every day. it really sucks
9/22/2023 18:34:26,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I often use zones dedicated to my mode of transportation on campus.,I feel very safe,Not applicable (N/A),Not applicable (N/A),Not applicable (N/A),no comments,its good the way it is
9/22/2023 18:34:33,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I often use zones dedicated to my mode of transportation on campus.,I feel neither unsafe nor safe,I feel neither unsafe nor safe,Disagree,Strongly disagree,No opinion.,it's good
9/22/2023 18:37:11,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I often use zones dedicated to my mode of transportation on campus.,I feel unsafe,I feel unsafe,Agree,Disagree,Restrict to usage in certain areas of campus/ and do not allow operation of them during passing (e.g. 9am-9:10am) ,"As a pedestrian, I feel quite unsafe with micro-mobility riders because Berkeley is a very hilly campus and they are sometimes coming in your immediate direction with no obvious intention of slowing down. It's hard to suddenly move to accommodate them and also seems unfair given everyone has to get to class on time. "
9/22/2023 18:52:20,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I often use zones dedicated to my mode of transportation on campus.,I feel safe,I feel neither unsafe nor safe,Neither disagree nor agree,Agree,Micro Mobility Vehicles need to have a speed limit of no less than 10 mph for safe practices,I don't care about micro-mobility devices but there tend to always be an asshole who does not care about other pedesterians and give micro-mobility riders a bad reputation
9/22/2023 18:59:01,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I never use zones dedicated to my mode of transportation on campus.,Not applicable (N/A),Not applicable (N/A),Agree,Disagree,To not have them,People on micro mobility tend to ride pretty fast when there are a lot of pedestrians around which feels unsafe. 
